coffee_shop_name,num_reviews,rating,coffee,tea,vibe,internet,food,alcohol,seating,service,parking,location,local,price,hours
The Factory - Cafe With a Soul,244,4.360655737704918,0.22540983606557377,0.04918032786885246,0.75,0.0,0.639344262295082,0.06967213114754098,0.14754098360655737,0.36065573770491804,0.13114754098360656,0.01639344262295082,0.0,-0.16393442622950818,0.04918032786885246
Cherrywood Coffeehouse,100,3.96,0.56,0.0,0.4,0.0,0.8,0.07,0.21,0.27,0.04,0.06,0.03,0.02,-0.02
Jo's Coffee,100,4.19,0.49,0.03,0.2,0.0,0.11,0.0,0.13,0.21,0.02,0.15,0.03,-0.01,-0.01
The Hideout Coffeehouse,100,3.91,0.58,0.02,0.32,0.0,0.2,0.01,0.08,0.11,-0.07,0.02,0.08,0.04,0.0
Stinson's,100,3.81,0.44,0.03,,0.16,0.42,0.07,0.03,0.28,0.0,0.17,0.04,0.1,0.13
Vintage Heart Coffee,100,4.17,0.7373737373737373,0.01,0.41,0.07,0.03,0.0,0.09,0.41,0.12,0.17,0.05,0.02,0.03
Houndstooth Coffee,200,4.175,0.605,0.065,0.345,0.035,0.105,0.005,0.065,0.47,0.055,0.105,0.015,-0.075,0.015
Dolce Neve,100,4.64,0.04,0.0,0.19,0.0,0.75,-0.01,0.12,0.44,0.1,0.08,0.07,-0.02,0.0
Sa-Ten,100,4.35,0.53,0.01,0.61,0.01,0.84,0.0,0.06,0.1,0.07,0.08,-0.01,-0.02,-0.01
Tea Haus,100,4.11,0.34,0.51,0.24,0.06,0.49,-0.01,0.05,0.34,0.02,0.01,0.03,-0.01,0.04
Picnik Austin,100,4.15,0.29,0.02,,0.0,0.49,0.0,0.1,0.24,0.02,0.1,-0.01,-0.01,0.02
Kowabunga Coffee,16,4.8125,0.0625,0.125,,0.0,0.0,0.0,0.0,0.4375,0.0,0.1875,0.1875,0.0,0.25
